Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
2122 Computer and information systems professionals,"217,385","205,185","81,000","82,500","197,590","82,000","83,500"
21220 Cybersecurity specialists,"15,060","14,385","91,000","95,800","14,085","91,000","95,700"
21221 Business systems specialists,"32,625","30,850","79,000","78,400","29,990","79,500","78,900"
21222 Information systems specialists,"143,475","134,925","82,000","83,500","129,205","83,000","84,800"
21223 Database analysts and data administrators,"26,225","25,025","72,000","74,400","24,305","72,500","75,200"
"2123 Computer, software and Web designers and developers","301,875","279,530","77,000","84,600","264,160","79,000","86,700"
21230 Computer systems developers and programmers,"44,720","42,155","73,000","76,600","40,505","73,500","77,600"
21231 Software engineers and designers,"90,565","84,500","94,000","106,900","81,880","94,000","108,000"
21232 Software developers and programmers,"95,225","89,055","80,000","86,400","85,600","81,000","87,300"
21233 Web designers,"13,700","11,700","32,400","41,760","9,240","40,800","46,320"
21234 Web developers and programmers,"57,665","52,130","57,600","61,450","46,940","60,400","64,200"
213 Professional occupations in engineering,"260,710","248,110","89,000","99,500","240,460","90,000","101,200"
2130 Civil and mechanical engineers,"128,480","122,520","84,000","94,700","118,415","86,000","96,400"
21300 Civil engineers,"69,790","66,385","85,000","94,800","63,895","87,000","96,800"
21301 Mechanical engineers,"58,690","56,140","84,000","94,500","54,520","85,000","95,900"
"2131 Electrical, electronics and computer engineers","74,620","70,795","96,000","104,800","68,710","97,000","106,400"
21310 Electrical and electronics engineers,"47,890","45,465","94,000","101,900","44,105","95,000","103,400"
21311 Computer engineers (except software engineers and designers),"26,735","25,330","99,000","110,100","24,600","100,000","111,800"
2132 Manufacturing and processing engineers,"32,025","30,555","82,000","94,500","29,785","83,000","95,400"
21320 Chemical engineers,"12,075","11,475","89,000","105,700","11,220","90,000","106,900"
21321 Industrial and manufacturing engineers,"17,095","16,410","77,500","85,000","16,000","78,000","85,800"
21322 Metallurgical and materials engineers,"2,860","2,675","97,000","104,300","2,555","99,000","105,700"
2133 Natural resources engineers,"13,200","12,385","112,000","139,400","12,030","114,000","141,800"
21330 Mining engineers,"3,575","3,390","116,000","149,000","3,280","116,000","150,600"
21331 Geological engineers,"3,905","3,710","92,000","108,700","3,625","93,000","110,000"
21332 Petroleum engineers,"5,720","5,280","133,000","155,000","5,125","135,000","158,800"
2139 Other engineers,"12,380","11,850","89,000","89,900","11,530","90,000","91,000"
