Occupation,Total - Employment income statistics,With employment income,Median employment income,Average employment income,"With wages, salaries and commissions","Median wages, salaries and commisions","Average wages, salaries and commisions"
72501 Water well drillers,670,605,"50,400","50,400",520,"52,000","53,800"
726 Transportation officers and controllers,"32,655","31,760","92,000","107,200","31,205","93,000","107,900"
7260 Transportation officers and controllers,"32,655","31,760","92,000","107,200","31,205","93,000","107,900"
"72600 Air pilots, flight engineers and flying instructors","18,605","18,015","90,000","107,800","17,635","91,000","108,800"
72601 Air traffic controllers and related occupations,"4,790","4,725","106,000","121,300","4,695","107,000","121,700"
"72602 Deck officers, water transport","6,270","6,135","90,000","102,100","6,050","90,000","102,500"
"72603 Engineer officers, water transport","1,535","1,480","95,000","98,300","1,425","96,000","97,900"
72604 Railway traffic controllers and marine traffic regulators,"1,450","1,405","84,000","83,800","1,395","86,000","84,500"
729 Other technical trades,"10,075","9,420","44,000","48,240","7,700","50,000","52,550"
7299 Other technical trades,"10,075","9,420","44,000","48,240","7,700","50,000","52,550"
72999 Other technical trades and related occupations,"10,075","9,420","44,000","48,240","7,700","50,000","52,550"
73 General trades,"979,385","909,750","38,800","43,960","813,635","41,600","46,000"
731 General construction trades,"150,485","132,735","30,000","34,720","102,490","33,600","37,000"
"7310 Concrete finishers, tilesetters and plasterers","52,135","46,755","36,000","39,240","37,300","38,400","40,040"
73100 Concrete finishers,"10,050","9,415","47,600","49,600","8,900","48,400","50,680"
73101 Tilesetters,"9,940","8,675","30,400","34,880","5,830","34,000","36,280"
"73102 Plasterers, drywall installers and finishers and lathers","32,140","28,665","34,000","37,120","22,565","34,800","36,800"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","98,355","85,980","26,600","32,280","65,195","31,200","35,280"
73110 Roofers and shinglers,"25,970","23,365","31,800","37,200","21,070","32,400","37,760"
73111 Glaziers,"8,855","8,550","44,800","45,080","8,145","45,600","45,920"
73112 Painters and decorators (except interior decorators),"50,135","42,580","20,200","27,080","28,945","25,800","30,720"
73113 Floor covering installers,"13,390","11,485","26,800","31,800","7,030","30,200","34,280"
"732 Building maintenance installers, servicers and repairers","187,995","171,515","33,200","37,080","151,255","36,000","39,240"
"7320 Building maintenance installers, servicers and repairers","187,995","171,515","33,200","37,080","151,255","36,000","39,240"
73200 Residential and commercial installers and servicers,"57,405","52,055","29,200","33,640","44,320","30,800","34,640"
73201 General building maintenance workers and building superintendents,"114,085","104,305","36,000","39,040","93,495","39,600","41,760"
73202 Pest controllers and fumigators,"4,555","4,250","38,400","40,520","3,705","40,800","41,880"
73209 Other repairers and servicers,"11,960","10,900","27,200","33,560","9,740","30,200","35,200"
733 Transportation occupations,"519,310","488,400","39,600","44,440","446,315","41,600","45,840"
7330 Transport truck and transit drivers,"507,265","476,460","38,400","43,200","434,430","40,400","44,560"
73300 Transport truck drivers,"403,855","375,735","40,800","44,240","335,870","43,200","45,920"
"73301 Bus drivers, subway operators and other transit operators","103,410","100,725","26,600","39,440","98,560","27,000","39,840"
7331 Train crew operating occupations,"12,045","11,945","95,000","92,900","11,885","95,000","93,300"
73310 Railway and yard locomotive engineers,"6,115","6,085","116,000","107,800","6,055","116,000","108,400"
73311 Railway conductors and brakemen/women,"5,930","5,860","80,000","77,400","5,830","80,000","77,700"
"734 Operators, drillers and blasters","121,590","117,100","58,000","62,500","113,570","58,800","63,650"
"7340 Operators, drillers and blasters","121,590","117,100","58,000","62,500","113,570","58,800","63,650"
73400 Heavy equipment operators,"101,535","97,825","60,000","64,900","94,820","61,200","66,100"
73401 Printing press operators,"15,375","14,750","43,200","44,680","14,270","44,400","45,600"
"73402 Drillers and blasters - surface mining, quarrying and construction","4,685","4,525","67,000","68,700","4,480","67,500","68,900"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","159,250","152,335","45,200","45,760","143,880","46,800","46,720"
741 Mail and message distribution occupations,"98,475","93,970","45,200","44,360","86,840","47,600","45,560"
7410 Mail and message distribution occupations,"98,475","93,970","45,200","44,360","86,840","47,600","45,560"
74100 Mail and parcel sorters and related occupations,"25,410","24,445","39,200","41,280","24,185","39,600","41,240"
74101 Letter carriers,"34,870","34,240","60,400","54,300","33,600","60,800","54,650"
74102 Couriers and messengers,"38,195","35,285","32,000","36,880","29,055","35,200","38,680"
"742 Transport equipment operators, utility maintenance and related workers","60,780","58,360","44,800","48,000","57,040","45,600","48,480"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","60,780","58,360","44,800","48,000","57,040","45,600","48,480"
74200 Railway yard and track maintenance workers,"5,985","5,890","77,000","74,500","5,835","77,500","74,900"
74201 Water transport deck and engine room crew,"4,935","4,840","58,000","55,300","4,760","58,000","55,500"
74202 Air transport ramp attendants,"10,280","9,935","31,400","35,760","9,835","31,400","35,800"
74203 Automotive and heavy truck and equipment parts installers and servicers,"16,130","15,295","30,600","38,120","14,855","31,000","38,280"
74204 Utility maintenance workers,"6,350","6,110","60,000","62,300","5,960","61,200","63,400"
74205 Public works maintenance equipment operators and related workers,"17,100","16,290","49,600","47,680","15,790","50,400","48,520"
"75 Helpers and labourers and other transport drivers, operators and labourers","739,615","674,600","28,400","35,400","594,420","32,000","38,200"
751 Helpers and labourers,"510,800","471,215","33,600","39,960","448,600","34,800","40,760"
7510 Longshore workers and material handlers,"252,315","238,415","36,000","42,360","234,100","36,400","42,640"
75100 Longshore workers,"6,290","6,115","84,000","87,400","6,075","85,000","87,600"
75101 Material handlers,"246,030","232,300","35,600","41,200","228,025","36,000","41,440"
7511 Trades helpers and labourers,"258,475","232,800","30,800","37,480","214,500","32,400","38,720"
75110 Construction trades helpers and labourers,"244,110","219,645","31,000","37,720","201,840","32,800","39,040"
75119 Other trades helpers and labourers,"14,365","13,160","26,000","33,160","12,660","27,200","33,760"
"752 Transport drivers, operators and labourers","228,820","203,380","15,500","24,900","145,820","23,400","30,360"
"7520 Taxi, personal service and delivery service drivers","184,175","161,560","12,000","20,540","104,995","17,800","25,760"
75200 Taxi and limousine drivers and chauffeurs,"68,390","61,485","6,950","13,440","25,290","11,600","20,940"
75201 Delivery service drivers and door-to-door distributors,"115,780","100,070","17,000","24,900","79,705","20,400","27,280"
7521 Water and rail transport operators and labourers and related occupations,"44,645","41,820","40,400","41,800","40,825","41,200","42,200"
75210 Boat and cable ferry operators and related occupations,"3,160","3,040","38,800","44,560","2,945","38,800","44,240"
75211 Railway and motor transport labourers,"5,685","5,210","32,800","38,360","5,030","34,000","38,960"
75212 Public works and maintenance labourers,"35,795","33,570","42,000","42,080","32,850","42,800","42,520"
"8 Natural resources, agriculture and related production occupations","617,425","543,170","23,200","37,680","425,325","26,800","42,760"
80 Middle management occupations in production and agriculture,"193,100","168,350","20,600","36,600","92,670","32,400","52,550"
800 Middle management occupations in production and agriculture,"193,100","168,350","20,600","36,600","92,670","32,400","52,550"
8001 Managers in natural resources production and fishing,"10,670","10,185","141,000","168,200","9,845","145,000","174,800"
80010 Managers in natural resources production and fishing,"10,670","10,185","141,000","168,200","9,845","145,000","174,800"
"8002 Managers in agriculture, horticulture and aquaculture","182,430","158,165","18,400","28,120","82,825","27,800","38,040"
80020 Managers in agriculture,"177,350","153,575","18,000","27,560","79,500","27,200","37,320"
80021 Managers in horticulture,"4,120","3,700","31,000","44,120","2,550","42,400","52,850"
80022 Managers in aquaculture,965,900,"56,400","58,300",770,"63,600","62,300"
"82 Supervisors in natural resources, agriculture and related production","52,760","48,655","62,800","77,000","43,270","68,000","82,200"
"820 Supervisors in natural resources, agriculture and related production","52,760","48,655","62,800","77,000","43,270","68,000","82,200"
"8201 Supervisors, logging and forestry","6,760","6,460","71,000","79,700","6,155","73,000","81,500"
"82010 Supervisors, logging and forestry","6,760","6,460","71,000","79,700","6,155","73,000","81,500"
"8202 Contractors and supervisors, mining, oil and gas","20,385","18,820","107,000","113,300","18,200","109,000","116,000"
"82020 Supervisors, mining and quarrying","8,365","8,180","121,000","120,200","8,060","123,000","121,400"
"82021 Contractors and supervisors, oil and gas drilling and services","12,020","10,640","96,000","107,900","10,145","99,000","111,700"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","25,610","23,365","41,200","47,080","18,920","44,400","49,880"
82030 Agricultural service contractors and farm supervisors,"3,090","2,920","44,000","45,600","2,535","46,400","49,000"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","22,520","20,445","40,400","47,280","16,385","44,000","50,000"
83 Occupations in natural resources and related production,"44,350","42,350","59,200","67,700","36,680","67,000","72,500"
831 Occupations in natural resources and fisheries,"44,350","42,350","59,200","67,700","36,680","67,000","72,500"
"8310 Underground miners, oil and gas drillers and related occupations","22,600","21,760","92,000","90,900","21,430","93,000","91,700"
83100 Underground production and development miners,"14,615","14,380","105,000","100,500","14,250","105,000","100,900"
"83101 Oil and gas well drillers, servicers, testers and related workers","7,985","7,385","63,200","72,300","7,170","64,500","73,500"
8311 Logging machinery operators,"7,545","7,290","56,800","58,200","6,965","57,200","58,750"
83110 Logging machinery operators,"7,545","7,290","56,800","58,200","6,965","57,200","58,750"
8312 Fishing vessel masters and fishermen/women,"14,210","13,300","23,600","34,920","8,295","21,000","34,520"
83120 Fishing masters and officers,"1,160","1,100","55,600","72,000",825,"55,600","70,200"
83121 Fishermen/women,"13,055","12,200","22,000","31,560","7,465","19,800","30,560"
"84 Workers in natural resources, agriculture and related production","90,860","81,405","26,800","36,160","70,335","29,400","38,640"
841 Workers in natural resources and fisheries,"90,860","81,405","26,800","36,160","70,335","29,400","38,640"
8410 Mine service workers and operators in oil and gas drilling,"10,660","10,340","75,500","79,500","10,235","76,500","80,100"
84100 Underground mine service and support workers,"4,535","4,425","78,000","79,000","4,405","78,500","79,400"
84101 Oil and gas well drilling and related workers and services operators,"6,125","5,915","74,000","79,900","5,830","75,000","80,600"
8411 Logging and forestry workers,"17,375","15,825","27,400","34,920","13,680","29,400","37,120"
84110 Chain saw and skidder operators,"8,715","7,670","30,000","36,960","6,015","35,200","41,560"
84111 Silviculture and forestry workers,"8,665","8,155","26,200","33,040","7,665","26,800","33,640"
8412 Workers in agriculture and fishing occupations,"62,825","55,240","21,800","28,360","46,420","23,600","29,960"
84120 Specialized livestock workers and farm machinery operators,"52,265","45,280","22,200","28,160","39,015","25,000","30,360"
84121 Fishing vessel deckhands,"10,560","9,960","20,400","29,360","7,405","18,200","27,960"
"85 Harvesting, landscaping and natural resources labourers","236,360","202,410","16,000","23,440","182,365","16,600","23,980"
"851 Harvesting, landscaping and natural resources labourers","236,360","202,410","16,000","23,440","182,365","16,600","23,980"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","75,635","64,300","15,500","22,000","57,095","16,200","22,680"
85100 Livestock labourers,"35,225","29,350","17,000","23,680","24,950","18,400","25,320"
85101 Harvesting labourers,"16,310","13,815","12,400","17,800","12,695","12,700","17,980"
85102 Aquaculture and marine harvest labourers,"2,925","2,750","22,200","30,960","1,860","24,000","33,120"
85103 Nursery and greenhouse labourers,"20,515","17,940","15,900","21,160","17,260","16,000","21,140"
85104 Trappers and hunters,660,445,"8,900","21,500",335,"15,400","26,100"
"8511 Mine and oil and gas drilling, services and related labourers","11,415","10,655","43,600","51,650","10,460","44,000","52,000"
85110 Mine labourers,"3,185","3,005","45,600","57,400","2,960","45,600","58,000"
"85111 Oil and gas drilling, servicing and related labourers","8,235","7,645","42,800","49,400","7,500","43,200","49,640"
"8512 Logging, forestry, landscaping and other related labourers","149,310","127,455","15,200","21,820","114,805","15,500","22,080"
85120 Logging and forestry labourers,"6,255","5,805","17,000","23,840","5,670","17,000","23,620"
85121 Landscaping and grounds maintenance labourers,"143,055","121,640","15,100","21,720","109,140","15,400","22,000"
9 Occupations in manufacturing and utilities,"937,355","890,860","42,000","52,050","870,460","42,400","52,750"
90 Middle management occupations in manufacturing and utilities,"87,465","83,650","85,000","102,700","80,980","87,000","104,900"
900 Middle management occupations in manufacturing and utilities,"87,465","83,650","85,000","102,700","80,980","87,000","104,900"
9001 Managers in manufacturing and utilities,"87,465","83,650","85,000","102,700","80,980","87,000","104,900"
90010 Manufacturing managers,"75,600","72,180","81,000","96,500","69,690","82,000","98,700"
90011 Utilities managers,"11,860","11,475","124,000","141,600","11,290","125,000","142,800"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","113,935","111,500","72,500","82,300","110,245","73,000","82,900"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","63,710","62,480","69,000","76,100","62,010","69,500","76,400"
"9201 Supervisors, processing and manufacturing occupations","45,110","44,155","70,500","78,700","43,825","70,500","79,000"
"92010 Supervisors, mineral and metal processing","5,720","5,635","81,000","86,000","5,615","81,000","86,400"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","12,515","12,290","97,000","109,900","12,160","98,000","110,900"
"92012 Supervisors, food and beverage processing","16,180","15,750","57,200","58,850","15,650","57,600","58,800"
"92013 Supervisors, plastic and rubber products manufacturing","3,700","3,630","60,400","62,450","3,610","60,400","62,650"
"92014 Supervisors, forest products processing","5,835","5,735","76,000","76,000","5,690","76,000","76,300"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","1,155","1,115","44,000","45,300","1,100","44,400","45,700"
"9202 Supervisors, assembly and fabrication","18,605","18,325","66,000","69,700","18,185","66,000","70,100"
"92020 Supervisors, motor vehicle assembling","8,550","8,480","72,500","77,100","8,445","72,500","77,300"
"92021 Supervisors, electronics and electrical products manufacturing","2,290","2,230","57,200","60,800","2,205","57,200","61,250"
"92022 Supervisors, furniture and fixtures manufacturing","1,665","1,625","52,800","53,350","1,610","52,400","53,600"
"92023 Supervisors, other mechanical and metal products manufacturing","2,950","2,915","72,000","73,200","2,895","72,500","73,800"
"92024 Supervisors, other products manufacturing and assembly","3,155","3,060","57,600","61,050","3,030","57,600","61,400"
921 Utilities equipment operators and controllers,"50,225","49,020","78,500","90,200","48,235","79,000","91,200"
9210 Utilities equipment operators and controllers,"50,225","49,020","78,500","90,200","48,235","79,000","91,200"
92100 Power engineers and power systems operators,"36,220","35,405","86,000","98,900","34,910","86,000","99,900"
92101 Water and waste treatment plant operators,"14,010","13,620","69,000","67,400","13,325","69,500","68,200"
93 Central control and process operators and aircraft assembly assemblers and inspectors,"32,515","31,635","88,000","100,900","31,250","89,000","101,900"
931 Central control and process operators in processing and manufacturing,"26,685","25,875","100,000","109,700","25,525","101,000","110,900"
9310 Central control and process operators in processing and manufacturing,"26,685","25,875","100,000","109,700","25,525","101,000","110,900"
"93100 Central control and process operators, mineral and metal processing","2,470","2,460","97,000","93,000","2,445","97,000","93,600"
"93101 Central control and process operators, petroleum, gas and chemical processing","23,435","22,660","101,000","112,300","22,330","103,000","113,600"
"93102 Pulping, papermaking and coating control operators",775,755,"90,000","87,400",745,"90,000","87,600"
932 Aircraft assemblers and aircraft assembly inspectors,"5,830","5,760","63,200","61,450","5,725","63,200","61,600"
9320 Aircraft assemblers and aircraft assembly inspectors,"5,830","5,760","63,200","61,450","5,725","63,200","61,600"
93200 Aircraft assemblers and aircraft assembly inspectors,"5,830","5,760","63,200","61,450","5,725","63,200","61,600"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","408,470","391,480","40,000","43,000","381,420","40,400","43,600"
941 Processing and manufacturing machine operators and related production workers,"225,065","216,120","41,600","44,680","210,405","42,000","45,400"
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"44,595","43,385","48,400","53,300","42,800","48,400","53,650"
"94100 Machine operators, mineral and metal processing","8,820","8,695","79,000","78,000","8,645","79,500","78,400"
94101 Foundry workers,"2,525","2,495","51,600","56,450","2,440","52,000","57,150"
94102 Glass forming and finishing machine operators and glass cutters,"2,410","2,330","37,200","38,160","2,260","37,600","38,240"
"94103 Concrete, clay and stone forming operators","4,015","3,790","42,800","47,000","3,675","43,200","47,440"
"94104 Inspectors and testers, mineral and metal processing","2,375","2,335","52,800","55,700","2,320","52,800","55,900"
94105 Metalworking and forging machine operators,"12,155","11,810","43,600","44,440","11,690","43,600","44,640"
94106 Machining tool operators,"9,245","8,975","46,400","48,320","8,870","46,800","48,480"
94107 Machine operators of other metal products,"3,050","2,965","44,800","46,600","2,900","45,200","47,240"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","28,290","27,230","44,400","48,560","26,825","44,800","48,920"
94110 Chemical plant machine operators,"8,145","7,745","50,400","58,950","7,510","52,000","60,150"
94111 Plastics processing machine operators,"14,645","14,105","40,000","42,560","13,960","40,000","42,680"
94112 Rubber processing machine operators and related workers,"5,500","5,385","50,000","49,360","5,355","50,400","49,440"
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"27,855","27,010","49,600","53,150","26,025","50,800","54,600"
94120 Sawmill machine operators,"6,685","6,490","46,800","48,320","5,975","48,800","51,450"
"94121 Pulp mill, papermaking and finishing machine operators","5,220","5,155","82,000","80,500","5,125","82,000","80,900"
94122 Paper converting machine operators,"3,740","3,645","54,400","53,100","3,615","54,400","53,500"
94123 Lumber graders and other wood processing inspectors and graders,"2,680","2,620","51,200","52,600","2,595","51,600","52,550"
94124 Woodworking machine operators,"7,210","6,825","35,200","36,760","6,475","36,400","37,880"
94129 Other wood processing machine operators,"2,320","2,270","53,600","54,500","2,245","54,800","55,200"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","22,660","21,230","23,400","25,920","19,620","24,600","27,080"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","3,035","2,865","30,600","31,640","2,630","32,400","33,680"
"94131 Weavers, knitters and other fabric making occupations","2,430","2,245","28,600","31,240","2,030","30,000","33,280"
94132 Industrial sewing machine operators,"15,420","14,425","22,000","23,680","13,300","23,000","24,660"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","1,770","1,695","26,000","28,000","1,660","26,400","28,280"
"9414 Machine operators and related workers in food, beverage and associated products processing","87,000","83,095","41,600","42,280","81,435","41,600","42,640"
"94140 Process control and machine operators, food and beverage processing","52,355","50,350","44,800","46,640","49,380","45,200","47,080"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","17,615","16,715","43,200","40,960","16,340","43,600","41,480"
94142 Fish and seafood plant workers,"8,605","8,005","15,000","20,320","7,800","14,900","20,080"
"94143 Testers and graders, food and beverage processing","8,425","8,025","36,400","39,440","7,910","36,800","39,640"
9415 Printing equipment operators and related occupations,"14,670","14,170","35,600","36,880","13,705","36,400","37,640"
94150 Plateless printing equipment operators,"7,295","7,040","36,800","36,880","6,815","37,600","37,680"
"94151 Camera, platemaking and other prepress occupations","2,115","2,065","47,600","48,680","2,005","47,600","49,720"
94152 Binding and finishing machine operators,"3,835","3,705","32,800","33,560","3,605","32,800","34,040"
94153 Photographic and film processors,"1,425","1,360","22,800","27,840","1,275","23,000","28,500"
942 Assemblers and inspectors in manufacturing,"183,410","175,360","38,400","40,960","171,010","38,800","41,400"
"9420 Mechanical, electrical and electronics assemblers and inspectors","111,435","107,560","41,200","43,640","106,455","41,200","43,800"
"94200 Motor vehicle assemblers, inspectors and testers","74,690","72,195","42,800","45,440","71,545","43,200","45,640"
"94201 Electronics assemblers, fabricators, inspectors and testers","14,170","13,565","34,800","35,880","13,315","34,800","36,000"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","7,840","7,520","35,600","37,520","7,435","35,600","37,560"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","2,605","2,515","43,600","45,960","2,510","43,600","45,840"
94204 Mechanical assemblers and inspectors,"11,175","10,850","44,000","45,240","10,745","44,000","45,360"
"94205 Machine operators and inspectors, electrical apparatus manufacturing",950,905,"39,600","42,500",900,"39,600","42,600"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","71,975","67,800","34,800","36,640","64,555","35,600","37,400"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","18,875","17,645","31,600","31,800","16,310","32,400","32,920"
94211 Assemblers and inspectors of other wood products,"9,000","8,425","32,800","33,400","8,135","33,200","33,680"
"94212 Plastic products assemblers, finishers and inspectors","5,490","5,205","36,000","35,880","5,130","36,000","36,000"
"94213 Industrial painters, coaters and metal finishing process operators","16,155","15,590","44,000","46,760","15,250","44,400","46,920"
"94219 Other products assemblers, finishers and inspectors","22,455","20,935","32,400","34,680","19,730","33,200","35,680"
"95 Labourers in processing, manufacturing and utilities","294,970","272,595","28,400","31,520","266,570","28,800","31,800"
"951 Labourers in processing, manufacturing and utilities","294,970","272,595","28,400","31,520","266,570","28,800","31,800"
"9510 Labourers in processing, manufacturing and utilities","294,970","272,595","28,400","31,520","266,570","28,800","31,800"
95100 Labourers in mineral and metal processing,"10,960","10,120","41,200","45,680","9,645","42,800","47,200"
95101 Labourers in metal fabrication,"14,960","14,065","34,000","36,360","13,710","34,400","36,800"
95102 Labourers in chemical products processing and utilities,"22,440","21,000","28,400","33,600","20,670","28,800","33,840"
"95103 Labourers in wood, pulp and paper processing","19,915","18,725","36,800","40,680","18,340","37,600","41,040"
95104 Labourers in rubber and plastic products manufacturing,"10,320","9,635","32,400","35,080","9,535","32,800","35,120"
95105 Labourers in textile processing and cutting,"6,735","6,205","23,000","25,800","5,910","23,800","26,440"
95106 Labourers in food and beverage processing,"96,830","89,790","29,400","30,720","88,235","29,600","30,960"
95107 Labourers in fish and seafood processing,"10,105","9,465","14,700","18,400","9,280","14,600","18,020"
"95109 Other labourers in processing, manufacturing and utilities","102,700","93,590","26,200","29,000","91,260","26,600","29,360"
